#, x8, x7, x6, x5, x14, x13, x12, x11, x10, x9, x4, x3, x2, x1, objval
1(1), 2, 1, 3, 2, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 2
2(2), 2, 0, 3, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 2
2(3), 2, 0, 3, 2, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 2
3(4), 0, 1, 3, 2, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 2
3(5), 1, 1, 3, 2, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 2
4(6), 0, 0, 3, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 2
4(7), 0, 0, 3, 2, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 2
4(8), 1, 0, 3, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 2
4(9), 1, 0, 3, 2, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 2
5(10), 0, 0, 2, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 2
5(11), 1, 0, 2, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 2
6(12), 0, 0, 3, 2, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 2
6(13), 0, 1, 3, 2, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 2
6(14), 0, 2, 3, 2, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 2
6(15), 1, 0, 3, 2, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 2
6(16), 1, 1, 3, 2, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 2
6(17), 1, 2, 3, 2, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 2
7(18), 0, 0, 3, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 2
7(19), 0, 1, 3, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 2
7(20), 0, 2, 3, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 2
